EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 17-11-2014
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TN   : minimum temperature in 0.1 &#176;C
30-34 Q_TN : Quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 100561) of ITALY, ROMA CIAMPINO (STAID: 176)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TN, Q_TN
   176,100561,19510623,  192,    0
   176,100561,19510624,  185,    0
   176,100561,19510625,  170,    0
   176,100561,19510626,  147,    0
   176,100561,19510627,  124,    0
   176,100561,19510628,  127,    0
   176,100561,19510629,  154,    0
   176,100561,19510630,  156,    0
   176,100561,19510701,  168,    0
   176,100561,19510702,  154,    0
   176,100561,19510703,  157,    0
   176,100561,19510704,  154,    0
   176,100561,19510705,  152,    0
   176,100561,19510706,  188,    0
   176,100561,19510707,  170,    0
   176,100561,19510708,  176,    0
   176,100561,19510709,  190,    0
   176,100561,19510710,  164,    0
   176,100561,19510711,  196,    0
   176,100561,19510712,  187,    0
   176,100561,19510713,  187,    0
   176,100561,19510714,  200,    0
   176,100561,19510715,  216,    0
   176,100561,19510716,  180,    0
   176,100561,19510717,  180,    0
   176,100561,19510718,  165,    0
   176,100561,19510719,  166,    0
   176,100561,19510720,  185,    0
   176,100561,19510721,  192,    0
   176,100561,19510722,  192,    0
   176,100561,19510723,  175,    0
   176,100561,19510724,  184,    0
   176,100561,19510725,  172,    0
   176,100561,19510726,  170,    0
   176,100561,19510727,  160,    0
   176,100561,19510728,  155,    0
   176,100561,19510729,  148,    0
   176,100561,19510730,  146,    0
   176,100561,19510731,  178,    0
   176,100561,19510801,  170,    0
   176,100561,19510802,  173,    0
   176,100561,19510803,  188,    0
   176,100561,19510804,  190,    0
   176,100561,19510805,  216,    0
   176,100561,19510806,  180,    0
   176,100561,19510807,  183,    0
   176,100561,19510808,  234,    0
   176,100561,19510809,  216,    0
   176,100561,19510810,  195,    0
   176,100561,19510811,  194,    0
   176,100561,19510812,  142,    0
   176,100561,19510813,  146,    0
   176,100561,19510814,  182,    0
   176,100561,19510815,  166,    0
   176,100561,19510816,  165,    0
   176,100561,19510817,  170,    0
   176,100561,19510818,  162,    0
   176,100561,19510819,  169,    0
   176,100561,19510820,  172,    0
   176,100561,19510821,  188,    0
   176,100561,19510822,  186,    0
   176,100561,19510823,  147,    0
   176,100561,19510824,  180,    0
   176,100561,19510825,  176,    0
   176,100561,19510826,  175,    0
   176,100561,19510827,  176,    0
   176,100561,19510828,  178,    0
   176,100561,19510829,  170,    0
   176,100561,19510830,  188,    0
   176,100561,19510831,  187,    0
   176,100561,19510901,  204,    0
   176,100561,19510902,  163,    0
   176,100561,19510903,  130,    0
   176,100561,19510904,  164,    0
   176,100561,19510905,  180,    0
   176,100561,19510906,  166,    0
   176,100561,19510907,  134,    0
   176,100561,19510908,  174,    0
   176,100561,19510909,  158,    0
   176,100561,19510910,   85,    0
   176,100561,19510911,  172,    0
   176,100561,19510912,  178,    0
   176,100561,19510913,  182,    0
   176,100561,19510914,  182,    0
   176,100561,19510915,  191,    0
   176,100561,19510916,  202,    0
   176,100561,19510917,  176,    0
   176,100561,19510918,  174,    0
   176,100561,19510919,  176,    0
   176,100561,19510920,  164,    0
   176,100561,19510921,  166,    0
   176,100561,19510922,  144,    0
   176,100561,19510923,  156,    0
   176,100561,19510924,  184,    0
   176,100561,19510925,  175,    0
   176,100561,19510926,  170,    0
   176,100561,19510927,  160,    0
   176,100561,19510928,  140,    0
   176,100561,19510929,  134,    0
   176,100561,19510930,  127,    0
   176,100561,19511001,   95,    0
   176,100561,19511002,  120,    0
   176,100561,19511003,  128,    0
   176,100561,19511004,  125,    0
   176,100561,19511005,  117,    0
   176,100561,19511006,   69,    0
   176,100561,19511007,  119,    0
   176,100561,19511008,   88,    0
   176,100561,19511009,   75,    0
   176,100561,19511010,   72,    0
   176,100561,19511011,   69,    0
   176,100561,19511012,   69,    0
   176,100561,19511013,   66,    0
   176,100561,19511014,   60,    0
   176,100561,19511015,  100,    0
   176,100561,19511016,  120,    0
   176,100561,19511017,  125,    0
   176,100561,19511018,  130,    0
   176,100561,19511019,  127,    0
   176,100561,19511020,  125,    0
   176,100561,19511021,  107,    0
   176,100561,19511022,  115,    0
   176,100561,19511023,  115,    0
   176,100561,19511024,  117,    0
   176,100561,19511025,  112,    0
   176,100561,19511026,   75,    0
   176,100561,19511027,   77,    0
   176,100561,19511028,   72,    0
   176,100561,19511029,   72,    0
   176,100561,19511030,   98,    0
   176,100561,19511031,  100,    0
   176,100561,19511101,  100,    0
   176,100561,19511102,   72,    0
   176,100561,19511103,   57,    0
   176,100561,19511104,   98,    0
   176,100561,19511105,   96,    0
   176,100561,19511106,  124,    0
   176,100561,19511107,  145,    0
   176,100561,19511108,  150,    0
   176,100561,19511109,  132,    0
   176,100561,19511110,  126,    0
   176,100561,19511111,  174,    0
   176,100561,19511112,  134,    0
   176,100561,19511113,  108,    0
   176,100561,19511114,   60,    0
   176,100561,19511115,   50,    0
   176,100561,19511116,   48,    0
   176,100561,19511117,   34,    0
   176,100561,19511118,   96,    0
   176,100561,19511119,  134,    0
   176,100561,19511120,  147,    0
   176,100561,19511121,  112,    0
   176,100561,19511122,   95,    0
   176,100561,19511123,   64,    0
   176,100561,19511124,   55,    0
   176,100561,19511125,   60,    0
   176,100561,19511126,  103,    0
   176,100561,19511127,   60,    0
   176,100561,19511128,   10,    0
   176,100561,19511129,   65,    0
   176,100561,19511130,   32,    0
   176,100561,19511201,   27,    0
   176,100561,19511202,   24,    0
   176,100561,19511203,   80,    0
   176,100561,19511204,   54,    0
   176,100561,19511205,   17,    0
   176,100561,19511206,   23,    0
   176,100561,19511207,   78,    0
   176,100561,19511208,   90,    0
   176,100561,19511209,   70,    0
   176,100561,19511210,   82,    0
   176,100561,19511211,   46,    0
   176,100561,19511212,    0,    0
   176,100561,19511213,    0,    0
   176,100561,19511214,   15,    0
   176,100561,19511215,   12,    0
   176,100561,19511216,   12,    0
   176,100561,19511217,    6,    0
   176,100561,19511218,   16,    0
   176,100561,19511219,   18,    0
   176,100561,19511220,    8,    0
   176,100561,19511221,   16,    0
   176,100561,19511222,   16,    0
   176,100561,19511223,   10,    0
   176,100561,19511224,   22,    0
   176,100561,19511225,   74,    0
   176,100561,19511226,   75,    0
   176,100561,19511227,   64,    0
   176,100561,19511228,   55,    0
