EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 17-11-2014
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 100563) of ITALY, ROMA CIAMPINO (STAID: 176)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
   176,100563,19510101,    4,    0
   176,100563,19510102,   84,    0
   176,100563,19510103,   92,    0
   176,100563,19510104,   84,    0
   176,100563,19510105,    0,    0
   176,100563,19510106,    0,    0
   176,100563,19510107,    0,    0
   176,100563,19510108,    1,    0
   176,100563,19510109,    1,    0
   176,100563,19510110,    0,    0
   176,100563,19510111,    0,    0
   176,100563,19510112,  400,    0
   176,100563,19510113,   82,    0
   176,100563,19510114,    0,    0
   176,100563,19510115,    0,    0
   176,100563,19510116,   36,    0
   176,100563,19510117,    0,    0
   176,100563,19510118,    1,    0
   176,100563,19510119,   16,    0
   176,100563,19510120,    0,    0
   176,100563,19510121,    0,    0
   176,100563,19510122,    0,    0
   176,100563,19510123,    1,    0
   176,100563,19510124,    1,    0
   176,100563,19510125,    2,    0
   176,100563,19510126,    3,    0
   176,100563,19510127,    8,    0
   176,100563,19510128,   50,    0
   176,100563,19510129,    4,    0
   176,100563,19510130,    1,    0
   176,100563,19510131,    0,    0
   176,100563,19510201,    1,    0
   176,100563,19510202,    0,    0
   176,100563,19510203,   22,    0
   176,100563,19510204,   20,    0
   176,100563,19510205,   10,    0
   176,100563,19510206,    1,    0
   176,100563,19510207,    1,    0
   176,100563,19510208,   24,    0
   176,100563,19510209,    0,    0
   176,100563,19510210,    2,    0
   176,100563,19510211,    0,    0
   176,100563,19510212,    0,    0
   176,100563,19510213,    6,    0
   176,100563,19510214,   32,    0
   176,100563,19510215,    4,    0
   176,100563,19510216,   10,    0
   176,100563,19510217,    0,    0
   176,100563,19510218,    0,    0
   176,100563,19510219,    1,    0
   176,100563,19510220,    2,    0
   176,100563,19510221,    2,    0
   176,100563,19510222,    6,    0
   176,100563,19510223,   44,    0
   176,100563,19510224,    4,    0
   176,100563,19510225,    8,    0
   176,100563,19510226,   10,    0
   176,100563,19510227,   44,    0
   176,100563,19510228,   20,    0
   176,100563,19510301,    2,    0
   176,100563,19510302,    0,    0
   176,100563,19510303,    0,    0
   176,100563,19510304,    0,    0
   176,100563,19510305,    1,    0
   176,100563,19510306,   10,    0
   176,100563,19510307,    1,    0
   176,100563,19510308,  128,    0
   176,100563,19510309,   36,    0
   176,100563,19510310,  118,    0
