EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 17-11-2014
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 118382) of ITALY, ROMA CIAMPINO (STAID: 176)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
   176,118382,19510624,    0,    0
   176,118382,19510625,    0,    0
   176,118382,19510626,    1,    0
   176,118382,19510627,    0,    0
   176,118382,19510628,    0,    0
   176,118382,19510629,    0,    0
   176,118382,19510630,    0,    0
   176,118382,19510701,    1,    0
   176,118382,19510702,    0,    0
   176,118382,19510703,    0,    0
   176,118382,19510704,    0,    0
   176,118382,19510705,    0,    0
   176,118382,19510706,    0,    0
   176,118382,19510707,    0,    0
   176,118382,19510708,    0,    0
   176,118382,19510709,    4,    0
   176,118382,19510710,    0,    0
   176,118382,19510711,    0,    0
   176,118382,19510712,    0,    0
   176,118382,19510713,    0,    0
   176,118382,19510714,    1,    0
   176,118382,19510715,    0,    0
   176,118382,19510716,    0,    0
   176,118382,19510717,    1,    0
   176,118382,19510718,    1,    0
   176,118382,19510719,    0,    0
   176,118382,19510720,    0,    0
   176,118382,19510721,    0,    0
   176,118382,19510722,    0,    0
   176,118382,19510723,    1,    0
   176,118382,19510724,    1,    0
   176,118382,19510725,    0,    0
   176,118382,19510726,    0,    0
   176,118382,19510727,    0,    0
   176,118382,19510728,    0,    0
   176,118382,19510729,    0,    0
   176,118382,19510730,    0,    0
   176,118382,19510731,    0,    0
   176,118382,19510801,    0,    0
   176,118382,19510802,    0,    0
   176,118382,19510803,    0,    0
   176,118382,19510804,    0,    0
   176,118382,19510805,    0,    0
   176,118382,19510806,    0,    0
   176,118382,19510807,    0,    0
   176,118382,19510808,    0,    0
   176,118382,19510809,    0,    0
   176,118382,19510810,    1,    0
   176,118382,19510811,    1,    0
   176,118382,19510812,    0,    0
   176,118382,19510813,    0,    0
   176,118382,19510814,    0,    0
   176,118382,19510815,    0,    0
   176,118382,19510816,    1,    0
   176,118382,19510817,    0,    0
   176,118382,19510818,    0,    0
   176,118382,19510819,    0,    0
   176,118382,19510820,    0,    0
   176,118382,19510821,    0,    0
   176,118382,19510822,    2,    0
   176,118382,19510823,  124,    0
   176,118382,19510824,    2,    0
   176,118382,19510825,    0,    0
   176,118382,19510826,    0,    0
   176,118382,19510827,   28,    0
   176,118382,19510828,    0,    0
   176,118382,19510829,    0,    0
   176,118382,19510830,    0,    0
   176,118382,19510831,    0,    0
   176,118382,19510901,    0,    0
   176,118382,19510902,    0,    0
   176,118382,19510903,    0,    0
   176,118382,19510904,    6,    0
   176,118382,19510905,    2,    0
   176,118382,19510906,  160,    0
   176,118382,19510907,    2,    0
   176,118382,19510908,  136,    0
   176,118382,19510909,    0,    0
   176,118382,19510910,    0,    0
   176,118382,19510911,    0,    0
   176,118382,19510912,    0,    0
   176,118382,19510913,    0,    0
   176,118382,19510914,  200,    0
   176,118382,19510915,   14,    0
   176,118382,19510916,    0,    0
   176,118382,19510917,    0,    0
   176,118382,19510918,    0,    0
   176,118382,19510919,    0,    0
   176,118382,19510920,    0,    0
   176,118382,19510921,    0,    0
   176,118382,19510922,    0,    0
   176,118382,19510923,    0,    0
   176,118382,19510924,   80,    0
   176,118382,19510925, 1316,    0
   176,118382,19510926,    4,    0
   176,118382,19510927,  168,    0
   176,118382,19510928,    0,    0
   176,118382,19510929,   22,    0
   176,118382,19510930,   14,    0
   176,118382,19511001,    0,    0
   176,118382,19511002,    0,    0
   176,118382,19511003,    0,    0
   176,118382,19511004,    0,    0
   176,118382,19511005,    0,    0
   176,118382,19511006,    0,    0
   176,118382,19511007,   28,    0
   176,118382,19511008,    0,    0
   176,118382,19511009,    0,    0
   176,118382,19511010,    0,    0
   176,118382,19511011,    1,    0
   176,118382,19511012,    0,    0
   176,118382,19511013,    0,    0
   176,118382,19511014,    0,    0
   176,118382,19511015,    0,    0
   176,118382,19511016,  120,    0
   176,118382,19511017,    2,    0
   176,118382,19511018,   30,    0
   176,118382,19511019,  132,    0
   176,118382,19511020,    1,    0
   176,118382,19511021,    0,    0
   176,118382,19511022,   54,    0
   176,118382,19511023,    2,    0
   176,118382,19511024,  226,    0
   176,118382,19511025,   72,    0
   176,118382,19511026,   24,    0
   176,118382,19511027,    0,    0
   176,118382,19511028,    1,    0
   176,118382,19511029,    0,    0
   176,118382,19511030,    0,    0
   176,118382,19511031,    1,    0
   176,118382,19511101,  108,    0
   176,118382,19511102,    0,    0
   176,118382,19511103,    0,    0
   176,118382,19511104,    0,    0
   176,118382,19511105,    0,    0
   176,118382,19511106,    0,    0
   176,118382,19511107,    1,    0
   176,118382,19511108,  138,    0
   176,118382,19511109,   42,    0
   176,118382,19511110,    2,    0
   176,118382,19511111,    2,    0
   176,118382,19511112,    4,    0
   176,118382,19511113,   32,    0
   176,118382,19511114,   55,    0
   176,118382,19511115,    0,    0
   176,118382,19511116,    0,    0
   176,118382,19511117,    0,    0
   176,118382,19511118,    0,    0
   176,118382,19511119,    0,    0
   176,118382,19511120,    0,    0
   176,118382,19511121,    0,    0
   176,118382,19511122,  150,    0
   176,118382,19511123,    8,    0
   176,118382,19511124,    0,    0
   176,118382,19511125,    1,    0
   176,118382,19511126,   42,    0
   176,118382,19511127,   12,    0
   176,118382,19511128,    0,    0
   176,118382,19511129,   52,    0
   176,118382,19511130,    0,    0
   176,118382,19511201,    0,    0
   176,118382,19511202,    0,    0
   176,118382,19511203,   60,    0
   176,118382,19511204,    4,    0
   176,118382,19511205,    0,    0
   176,118382,19511206,    0,    0
   176,118382,19511207,   32,    0
   176,118382,19511208,  268,    0
   176,118382,19511209,   28,    0
   176,118382,19511210,    4,    0
   176,118382,19511211,    0,    0
   176,118382,19511212,    0,    0
   176,118382,19511213,    0,    0
   176,118382,19511214,    0,    0
   176,118382,19511215,    0,    0
   176,118382,19511216,    0,    0
   176,118382,19511217,    0,    0
   176,118382,19511218,    0,    0
   176,118382,19511219,    0,    0
   176,118382,19511220,    0,    0
   176,118382,19511221,    0,    0
   176,118382,19511222,    0,    0
   176,118382,19511223,    0,    0
   176,118382,19511224,    1,    0
   176,118382,19511225,    8,    0
   176,118382,19511226,  114,    0
   176,118382,19511227,   82,    0
   176,118382,19511228,   32,    0
   176,118382,19511229,   14,    0
   176,118382,19511230,    0,    0
   176,118382,19511231,    0,    0
   176,118382,19520101,    1,    0
   176,118382,19520102,    1,    0
   176,118382,19520103,    8,    0
   176,118382,19520104,    4,    0
   176,118382,19520105,    0,    0
   176,118382,19520106,    0,    0
   176,118382,19520107,    0,    0
   176,118382,19520108,    0,    0
   176,118382,19520109,    1,    0
   176,118382,19520110,    8,    0
   176,118382,19520111,   56,    0
   176,118382,19520112,   16,    0
   176,118382,19520113,  146,    0
   176,118382,19520114,    4,    0
   176,118382,19520115,    0,    0
   176,118382,19520116,    0,    0
   176,118382,19520117,    0,    0
   176,118382,19520118,    4,    0
   176,118382,19520119,    0,    0
   176,118382,19520120,    0,    0
   176,118382,19520121,    0,    0
   176,118382,19520122,    1,    0
   176,118382,19520123,   48,    0
   176,118382,19520124,    2,    0
   176,118382,19520125,  210,    0
   176,118382,19520126,    6,    0
   176,118382,19520127,   16,    0
   176,118382,19520128,   30,    0
   176,118382,19520129,    0,    0
   176,118382,19520130,    0,    0
   176,118382,19520131,    2,    0
   176,118382,19520201,   36,    0
   176,118382,19520202,   58,    0
   176,118382,19520203,    0,    0
   176,118382,19520204,    0,    0
   176,118382,19520205,    0,    0
   176,118382,19520206,    0,    0
   176,118382,19520207,    0,    0
   176,118382,19520208,    6,    0
   176,118382,19520209,   24,    0
   176,118382,19520210,    0,    0
   176,118382,19520211,    4,    0
   176,118382,19520212,    0,    0
   176,118382,19520213,    7,    0
   176,118382,19520214,   28,    0
   176,118382,19520215,    6,    0
   176,118382,19520216,  132,    0
   176,118382,19520217,    1,    0
   176,118382,19520218,    0,    0
   176,118382,19520219,    0,    0
   176,118382,19520220,    0,    0
   176,118382,19520221,    0,    0
   176,118382,19520222,    0,    0
   176,118382,19520223,    0,    0
   176,118382,19520224,    0,    0
   176,118382,19520225,    0,    0
   176,118382,19520226,    0,    0
   176,118382,19520227,   26,    0
   176,118382,19520228,    1,    0
   176,118382,19520229,    0,    0
   176,118382,19520301,    1,    0
   176,118382,19520302,    0,    0
   176,118382,19520303,    0,    0
   176,118382,19520304,    0,    0
   176,118382,19520305,    0,    0
   176,118382,19520306,    1,    0
   176,118382,19520307,    0,    0
   176,118382,19520308,   10,    0
   176,118382,19520309,    0,    0
   176,118382,19520310,   10,    0
   176,118382,19520311,   24,    0
   176,118382,19520312,    0,    0
   176,118382,19520313,    1,    0
   176,118382,19520314,    2,    0
   176,118382,19520315,    0,    0
   176,118382,19520316,    0,    0
   176,118382,19520317,    0,    0
   176,118382,19520318,    0,    0
   176,118382,19520319,    0,    0
   176,118382,19520320,    0,    0
   176,118382,19520321,    1,    0
   176,118382,19520322,    1,    0
   176,118382,19520323,    0,    0
   176,118382,19520324,    0,    0
   176,118382,19520325,    0,    0
