EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 17-11-2014
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SS   : sunshine in 0.1 Hours
30-34 Q_SS : Quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 105265) of ITALY, ROMA CIAMPINO (STAID: 176)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   SS, Q_SS
   176,105265,19990624,  108,    0
   176,105265,19990625,  120,    0
   176,105265,19990626,  118,    0
   176,105265,19990627,  118,    0
   176,105265,19990628,   94,    0
   176,105265,19990629,  105,    0
   176,105265,19990630,  120,    0
   176,105265,19990701,  121,    0
   176,105265,19990702,  127,    0
   176,105265,19990703,  124,    0
   176,105265,19990704,  121,    0
   176,105265,19990705,  118,    0
   176,105265,19990706,  118,    0
   176,105265,19990707,  115,    0
   176,105265,19990708,   15,    0
   176,105265,19990709,   60,    0
   176,105265,19990710,  120,    0
   176,105265,19990711,  128,    0
   176,105265,19990712,  122,    0
   176,105265,19990713,  105,    0
   176,105265,19990714,  100,    0
   176,105265,19990715,  115,    0
   176,105265,19990716,   89,    0
   176,105265,19990717,  120,    0
   176,105265,19990718,  120,    0
   176,105265,19990719,  120,    0
   176,105265,19990720,  120,    0
   176,105265,19990721,  120,    0
   176,105265,19990722,  116,    0
   176,105265,19990723,   90,    0
   176,105265,19990724,   14,    0
   176,105265,19990725,   10,    0
   176,105265,19990726,   75,    0
   176,105265,19990727,  110,    0
   176,105265,19990728,   30,    0
   176,105265,19990729,   71,    0
   176,105265,19990730,   85,    0
   176,105265,19990731,  115,    0
   176,105265,19990801,   31,    0
   176,105265,19990802,  119,    0
   176,105265,19990803,  120,    0
   176,105265,19990804,   92,    0
   176,105265,19990805,  115,    0
   176,105265,19990806,  118,    0
   176,105265,19990807,  110,    0
   176,105265,19990808,  112,    0
   176,105265,19990809,   52,    0
   176,105265,19990810,   53,    0
   176,105265,19990811,  114,    0
   176,105265,19990812,  115,    0
   176,105265,19990813,  113,    0
   176,105265,19990814,  120,    0
   176,105265,19990815,  110,    0
   176,105265,19990816,  122,    0
   176,105265,19990817,  112,    0
   176,105265,19990818,  114,    0
   176,105265,19990819,   82,    0
   176,105265,19990820,   52,    0
   176,105265,19990821,  113,    0
   176,105265,19990822,  116,    0
   176,105265,19990823,   90,    0
   176,105265,19990824,  110,    0
   176,105265,19990825,  111,    0
   176,105265,19990826,  100,    0
   176,105265,19990827,   75,    0
   176,105265,19990828,  106,    0
   176,105265,19990829,   68,    0
   176,105265,19990830,   44,    0
   176,105265,19990831,  105,    0
   176,105265,19990901,  114,    0
   176,105265,19990902,   65,    0
   176,105265,19990903,   67,    0
   176,105265,19990904,    6,    0
   176,105265,19990905,  105,    0
   176,105265,19990906,  111,    0
   176,105265,19990907,   10,    0
   176,105265,19990908,  108,    0
   176,105265,19990909,  108,    0
   176,105265,19990910,   95,    0
   176,105265,19990911,   54,    0
   176,105265,19990912,  104,    0
   176,105265,19990913,  109,    0
   176,105265,19990914,  105,    0
   176,105265,19990915,   40,    0
   176,105265,19990916,    0,    0
   176,105265,19990917,  100,    0
   176,105265,19990918,  100,    0
   176,105265,19990919,   55,    0
   176,105265,19990920,   57,    0
   176,105265,19990921,   92,    0
   176,105265,19990922,   90,    0
   176,105265,19990923,   98,    0
   176,105265,19990924,   95,    0
   176,105265,19990925,  101,    0
   176,105265,19990926,   75,    0
   176,105265,19990927,   85,    0
   176,105265,19990928,   30,    0
   176,105265,19990929,  103,    0
   176,105265,19990930,  103,    0
   176,105265,19991001,   98,    0
   176,105265,19991002,   85,    0
   176,105265,19991003,  102,    0
   176,105265,19991004,   75,    0
   176,105265,19991005,   81,    0
   176,105265,19991006,   75,    0
   176,105265,19991007,  104,    0
   176,105265,19991008,   93,    0
   176,105265,19991009,   97,    0
   176,105265,19991010,   90,    0
   176,105265,19991011,   85,    0
   176,105265,19991012,   96,    0
   176,105265,19991013,   72,    0
   176,105265,19991014,   90,    0
   176,105265,19991015,   60,    0
   176,105265,19991016,   21,    0
   176,105265,19991017,   35,    0
   176,105265,19991018,    0,    0
   176,105265,19991019,   45,    0
   176,105265,19991020,   32,    0
   176,105265,19991021,   33,    0
   176,105265,19991022,   50,    0
   176,105265,19991023,   15,    0
   176,105265,19991024,   43,    0
   176,105265,19991025,   77,    0
   176,105265,19991026,   65,    0
   176,105265,19991027,    0,    0
   176,105265,19991028,   90,    0
   176,105265,19991029,   51,    0
   176,105265,19991030,   28,    0
   176,105265,19991031,   71,    0
   176,105265,19991101,   80,    0
   176,105265,19991102,   66,    0
   176,105265,19991103,   55,    0
   176,105265,19991104,   42,    0
   176,105265,19991105,   84,    0
   176,105265,19991106,   30,    0
   176,105265,19991107,   72,    0
   176,105265,19991108,   54,    0
   176,105265,19991109,   90,    0
   176,105265,19991110,   90,    0
   176,105265,19991111,   24,    0
   176,105265,19991112,   52,    0
   176,105265,19991113,   85,    0
   176,105265,19991114,   36,    0
   176,105265,19991115,    6,    0
   176,105265,19991116,   38,    0
   176,105265,19991117,    5,    0
   176,105265,19991118,   25,    0
   176,105265,19991119,   12,    0
